24 November 2018 01:44:54 PM

ODE_PRB
  C++ version
  Test the ODE library.

TEST01
  ODE solves a system of ordinary differential
  equations.

      T              v1              w1              v2              w2              v3              w3              v4              w4              v5              w5              v6              w6              v7              w7              v8              w8              v9              w9              v10              w10              
      0.45        0.119045        0.100848        0.119045        0.100848        0.119045        0.100848        0.119045        0.100848        0.119045        0.100848        0.119045        0.100848         0.11909        0.100847        0.120158        0.100815        0.139069        0.100068        0.339098       0.0883785
      0.46        0.125751        0.102669        0.125751        0.102669        0.125751        0.102669        0.125751        0.102669        0.125751        0.102669        0.125751        0.102669        0.125801        0.102668        0.126967        0.102632        0.147117        0.101821        0.354593        0.089485
      0.47        0.132712        0.104462        0.132712        0.104462        0.132712        0.104462        0.132712        0.104462        0.132712        0.104462        0.132712        0.104462        0.132768        0.104461        0.134039        0.104421        0.155488        0.103543        0.370457       0.0905363
      0.48        0.139937        0.106227        0.139937        0.106227        0.139937        0.106227        0.139937        0.106227        0.139937        0.106227        0.139937        0.106227        0.139999        0.106225        0.141382        0.106181         0.16419        0.105232        0.386913       0.0915311
      0.49         0.14743        0.107962         0.14743        0.107962         0.14743        0.107962         0.14743        0.107962         0.14743        0.107962         0.14743        0.107962        0.147499        0.107961        0.149003        0.107911        0.173233        0.106887        0.403682        0.092468
       0.5        0.155198        0.109668        0.155198        0.109668        0.155198        0.109668        0.155198        0.109668        0.155198        0.109668        0.155198        0.109668        0.155275        0.109666        0.156908        0.109612        0.182624        0.108507        0.421016       0.0933454
      0.51        0.163249        0.111343        0.163249        0.111343        0.163249        0.111343        0.163249        0.111343        0.163249        0.111343        0.163249        0.111343        0.163334         0.11134        0.165105         0.11128        0.192373        0.110091        0.438861       0.0941621
      0.52        0.171589        0.112985        0.171589        0.112985        0.171589        0.112985        0.171589        0.112985        0.171589        0.112985        0.171589        0.112985        0.171683        0.112983          0.1736        0.112917        0.202489        0.111637        0.457154       0.0949165
      0.53        0.180225        0.114596        0.180225        0.114596        0.180225        0.114596        0.180225        0.114596        0.180225        0.114596        0.180225        0.114596        0.180329        0.114593        0.182402        0.114521         0.21298        0.113145        0.475884       0.0956072
      0.54        0.189163        0.116172        0.189163        0.116172        0.189163        0.116172        0.189163        0.116172        0.189163        0.116172        0.189163        0.116172        0.189279        0.116169        0.191518         0.11609        0.223857        0.114613        0.495074       0.0962329
      0.55        0.198412        0.117715        0.198412        0.117715        0.198412        0.117715        0.198412        0.117715        0.198412        0.117715        0.198412        0.117715        0.198539        0.117711        0.200955        0.117624        0.235126        0.116041        0.514867       0.0967921
      0.56        0.207977        0.119222        0.207977        0.119222        0.207977        0.119222        0.207977        0.119222        0.207977        0.119222        0.207977        0.119222        0.208117        0.119217        0.210721        0.119123        0.246798        0.117426        0.535029       0.0972834
      0.57        0.217866        0.120692        0.217866        0.120692        0.217866        0.120692        0.217866        0.120692        0.217866        0.120692        0.217866        0.120692        0.218019        0.120687        0.220824        0.120584        0.258882        0.118769        0.555671       0.0977053
      0.58        0.228086        0.122125        0.228086        0.122125        0.228086        0.122125        0.228086        0.122125        0.228086        0.122125        0.228086        0.122125        0.228254         0.12212         0.23127        0.122007        0.271384        0.120067         0.57679       0.0980565
      0.59        0.238644         0.12352        0.238644         0.12352        0.238644         0.12352        0.238644         0.12352        0.238644         0.12352        0.238644         0.12352        0.238828        0.123514        0.242068        0.123391        0.284315        0.121319         0.59837       0.0983357
       0.6        0.249546        0.124875        0.249546        0.124875        0.249546        0.124875        0.249546        0.124875        0.249546        0.124875        0.249546        0.124875        0.249748        0.124869        0.253225        0.124735        0.297682        0.122524        0.620441       0.0985417
      0.61        0.260801         0.12619        0.260801         0.12619        0.260801         0.12619        0.260801         0.12619        0.260801         0.12619        0.260801         0.12619        0.261021        0.126183        0.264748        0.126037        0.311493         0.12368        0.642923        0.098673
      0.62        0.272413        0.127463        0.272413        0.127463        0.272413        0.127463        0.272413        0.127463        0.272413        0.127463        0.272413        0.127463        0.272653        0.127455        0.276645        0.127297        0.325755        0.124787        0.665763       0.0987285
      0.63        0.284391        0.128694        0.284391        0.128694        0.284391        0.128694        0.284391        0.128694        0.284391        0.128694        0.284391        0.128694        0.284653        0.128685        0.288924        0.128514        0.340475        0.125843        0.689071       0.0987071
      0.64        0.296741         0.12988        0.296741         0.12988        0.296741         0.12988        0.296741         0.12988        0.296741         0.12988        0.296741         0.12988        0.297025        0.129871         0.30159        0.129685         0.35566        0.126846        0.712753       0.0986076
      0.65        0.309468        0.131022        0.309468        0.131022        0.309468        0.131022        0.309468        0.131022        0.309468        0.131022        0.309468        0.131022        0.309777        0.131012        0.314651        0.130811        0.371315        0.127795        0.736826       0.0984291
      0.66        0.322579        0.132118        0.322579        0.132118        0.322579        0.132118        0.322579        0.132118        0.322579        0.132118        0.322579        0.132118        0.322915        0.132107        0.328114         0.13189        0.387446        0.128688        0.761267       0.0981707
      0.67         0.33608        0.133167         0.33608        0.133167         0.33608        0.133167         0.33608        0.133167         0.33608        0.133167         0.33608        0.133167        0.336445        0.133154        0.341985         0.13292        0.404057        0.129525        0.785866       0.0978311
      0.68        0.349977        0.134167        0.349977        0.134167        0.349977        0.134167        0.349977        0.134167        0.349977        0.134167        0.349977        0.134167        0.350371        0.134153        0.356269          0.1339        0.421152        0.130303        0.810882       0.0974099
      0.69        0.364273        0.135118        0.364273        0.135118        0.364273        0.135118        0.364273        0.135118        0.364273        0.135118        0.364273        0.135118          0.3647        0.135102        0.370972         0.13483        0.438732        0.131022        0.836187       0.0969063
       0.7        0.378975        0.136017        0.378975        0.136017        0.378975        0.136017        0.378975        0.136017        0.378975        0.136017        0.378975        0.136017        0.379436        0.136001        0.386099        0.135708        0.456801        0.131679        0.861716       0.0963197
      0.71        0.394085        0.136865        0.394085        0.136865        0.394085        0.136865        0.394085        0.136865        0.394085        0.136865        0.394085        0.136865        0.394583        0.136847        0.401655        0.136532        0.475358        0.132274        0.887421       0.0956495
      0.72        0.409609         0.13766        0.409609         0.13766        0.409609         0.13766        0.409609         0.13766        0.409609         0.13766        0.409609         0.13766        0.410146         0.13764        0.417643        0.137301        0.494401        0.132804        0.913268       0.0948953
      0.73        0.425548          0.1384        0.425548          0.1384        0.425548          0.1384        0.425548          0.1384        0.425548          0.1384        0.425548          0.1384        0.426126        0.138378        0.434067        0.138015         0.51393        0.133269         0.93921       0.0940568
      0.74        0.441905        0.139084        0.441905        0.139084        0.441905        0.139084        0.441905        0.139084        0.441905        0.139084        0.441905        0.139084        0.442527        0.139061        0.450928        0.138671         0.53394        0.133667        0.965203       0.0931339
      0.75        0.458682        0.139712        0.458682        0.139712        0.458682        0.139712        0.458682        0.139712        0.458682        0.139712        0.458682        0.139712         0.45935        0.139686        0.468229        0.139269        0.554426        0.133996        0.991205       0.0921267
      0.76        0.475879        0.140281        0.475879        0.140281        0.475879        0.140281        0.475879        0.140281        0.475879        0.140281        0.475879        0.140281        0.476595        0.140253         0.48597        0.139806        0.575379        0.134255         1.01736       0.0910354
