18 November 2018 01:50:17 PM

ODE_PRB
  C++ version
  Test the ODE library.

TEST01
  ODE solves a system of ordinary differential
  equations.

      T              v1              w1              v2              w2              v3              w3              v4              w4              v5              w5              v6              w6              v7              w7              v8              w8              v9              w9              v10              w10              
      0.77        -1.75182        0.409449      -0.0892684        0.179263        0.430855        0.143941         0.48891         0.14098        0.493238          0.1408        0.493484        0.140791        0.493495        0.140791        0.493496        0.140791        0.493496        0.140791        0.493496        0.140791
      0.78         -1.7555        0.416693      -0.0922078        0.181585        0.445696        0.144596        0.506643        0.141444        0.511253        0.141249        0.511519         0.14124        0.511531         0.14124        0.511532         0.14124        0.511532         0.14124        0.511532         0.14124
      0.79        -1.75875         0.42393      -0.0951669         0.18391        0.460855        0.145199         0.52478        0.141847        0.529683        0.141637         0.52997        0.141627        0.529983        0.141627        0.529984        0.141627        0.529984        0.141627        0.529984        0.141627
       0.8         -1.7616        0.431157      -0.0981447        0.186238        0.476331        0.145749        0.543316        0.142188        0.548525        0.141962        0.548834        0.141951        0.548849        0.141951         0.54885        0.141951         0.54885        0.141951         0.54885        0.141951
      0.81        -1.76405        0.438374        -0.10114        0.188571        0.492122        0.146245        0.562247        0.142466        0.567774        0.142223        0.568107        0.142211        0.568123         0.14221        0.568124         0.14221        0.568124         0.14221        0.568124         0.14221
      0.82        -1.76615        0.445579       -0.104152        0.190907        0.508226        0.146688        0.581566         0.14268        0.587425        0.142418        0.587782        0.142405        0.587799        0.142404          0.5878        0.142404          0.5878        0.142404          0.5878        0.142404
      0.83        -1.76791        0.452771        -0.10718        0.193247        0.524638        0.147075        0.601267        0.142828        0.607468        0.142547        0.607851        0.142532         0.60787        0.142532        0.607871        0.142532        0.607871        0.142532        0.607871        0.142532
      0.84        -1.76936         0.45995       -0.110223        0.195591        0.541355        0.147405        0.621342        0.142909        0.627897        0.142608        0.628307        0.142592        0.628328        0.142591        0.628329        0.142591        0.628329        0.142591        0.628329        0.142591
      0.85         -1.7705        0.467113        -0.11328        0.197938        0.558371        0.147679        0.641779        0.142923          0.6487          0.1426        0.649138        0.142583         0.64916        0.142582        0.649161        0.142582        0.649161        0.142582        0.649161        0.142582
      0.86        -1.77137        0.474261        -0.11635         0.20029         0.57568        0.147895        0.662568        0.142868        0.669864        0.142522        0.670332        0.142504        0.670357        0.142503        0.670358        0.142503        0.670358        0.142503        0.670358        0.142503
