18 November 2018 01:39:16 PM

ODE_PRB
  C++ version
  Test the ODE library.

TEST01
  ODE solves a system of ordinary differential
  equations.

      T              v1              w1              v2              w2              v3              w3              v4              w4              v5              w5              v6              w6              v7              w7              v8              w8              v9              w9              v10              w10              
      0.68        -1.55602        0.330493        0.744472        0.110172        0.309567        0.135961        0.352659         0.13407        0.349841        0.134171        0.349971        0.134167        0.350005        0.134166        0.350507        0.134147        0.358485        0.133818        0.465046        0.128834
      0.69        -1.56437        0.337303        0.772521        0.109851        0.321461        0.137045        0.367166        0.135012        0.364125        0.135122        0.364267        0.135118        0.364305        0.135116        0.364848        0.135096          0.3734         0.13474        0.485626        0.129405
       0.7        -1.57204        0.344122        0.800968        0.109436        0.333666        0.138086        0.382091        0.135902        0.378812        0.136022        0.378968        0.136018        0.379009        0.136016        0.379596        0.135994        0.388753         0.13561        0.506713        0.129906
      0.71        -1.57906        0.350947        0.829775        0.108927        0.346185        0.139084        0.397437        0.136739        0.393908        0.136871        0.394078        0.136865        0.394123        0.136864        0.394756         0.13684        0.404551        0.136425        0.528196        0.130333
      0.72        -1.58546        0.357777        0.858902        0.108323        0.359023        0.140036         0.41321        0.137523        0.409415        0.137666        0.409601         0.13766         0.40965        0.137658        0.410333        0.137632        0.420795        0.137185         0.55044        0.130687
      0.73        -1.59125        0.364608        0.888305        0.107623        0.372183        0.140943        0.429413        0.138251        0.425336        0.138407        0.425539          0.1384        0.425592        0.138398        0.426329         0.13837        0.437491        0.137887         0.57309        0.130966
      0.74        -1.59647         0.37144        0.917935        0.106827        0.385669        0.141803        0.446048        0.138922        0.441675        0.139092        0.441895        0.139085        0.441953        0.139083        0.442747        0.139051        0.454639        0.138532         0.59622        0.131167
      0.75        -1.60113         0.37827        0.947743        0.105933        0.399485        0.142615        0.463116        0.139536        0.458431         0.13972        0.458671        0.139712        0.458734         0.13971        0.459587        0.139676        0.472243        0.139117         0.61977         0.13129
      0.76        -1.60527        0.385096        0.977676        0.104943        0.413635        0.143379         0.48062         0.14009        0.475607         0.14029        0.475867        0.140281        0.475936        0.140279        0.476853        0.140242        0.490302        0.139641        0.643837        0.131334
      0.77        -1.60891        0.391917         1.00768        0.103856        0.428122        0.144093        0.498559        0.140584        0.493201        0.140801        0.493482        0.140791        0.493557        0.140788        0.494542        0.140748        0.508815        0.140103        0.668354        0.131296
